2026-08-06 13:03:21,919 | INFO | billmv2.quantization.v2_quantizer | alternating block 2816:2944 round 1 reconstruction loss 3.8373156e-07
2026-08-06 13:03:21,932 | INFO | billmv2.quantization.v2_quantizer | alternating block 2944:3072 round 1 reconstruction loss 2.55462237e-06
2026-08-06 13:03:21,945 | INFO | billmv2.quantization.v2_quantizer | alternating block 3072:3200 round 1 reconstruction loss 5.69558142e-06
2026-08-06 13:03:21,961 | INFO | billmv2.quantization.v2_quantizer | alternating block 3200:3328 round 1 reconstruction loss 3.56974027e-07
2026-08-06 13:03:21,974 | INFO | billmv2.quantization.v2_quantizer | alternating block 3328:3456 round 1 reconstruction loss 8.28706163e-07
2026-08-06 13:03:21,988 | INFO | billmv2.quantization.v2_quantizer | alternating block 3456:3584 round 1 reconstruction loss 2.86841924e-07
2026-08-06 13:03:22,002 | INFO | billmv2.quantization.v2_quantizer | alternating block 3584:3712 round 1 reconstruction loss 1.14283512e-06
2026-08-06 13:03:22,015 | INFO | billmv2.quantization.v2_quantizer | alternating block 3712:3840 round 1 reconstruction loss 1.87443936e-06
2026-08-06 13:03:22,029 | INFO | billmv2.quantization.v2_quantizer | alternating block 3840:3968 round 1 reconstruction loss 1.17566537e-06
2026-08-06 13:03:22,042 | INFO | billmv2.quantization.v2_quantizer | alternating block 3968:4096 round 1 reconstruction loss 2.30994101e-06
2026-08-06 13:03:22,042 | INFO | billmv2.pipeline.sequential | quantized fixed model.layers.0.self_attn.o_proj, OBC error 6.93605
2026-08-06 13:03:22,110 | INFO | billmv2.quantization.v2_quantizer | alternating block 0:128 round 1 reconstruction loss 0.000826974283
2026-08-06 13:03:22,129 | INFO | billmv2.quantization.v2_quantizer | alternating block 128:256 round 1 reconstruction loss 0.000716393872
2026-08-06 13:03:22,148 | INFO | billmv2.quantization.v2_quantizer | alternating block 256:384 round 1 reconstruction loss 0.000682902813
2026-08-06 13:03:22,169 | INFO | billmv2.quantization.v2_quantizer | alternating block 384:512 round 1 reconstruction loss 0.000753146014
2026-08-06 13:03:22,188 | INFO | billmv2.quantization.v2_quantizer | alternating block 512:640 round 1 reconstruction loss 0.000856720202
2026-08-06 13:03:22,207 | INFO | billmv2.quantization.v2_quantizer | alternating block 640:768 round 1 reconstruction loss 0.000766517653
2026-08-06 13:03:22,226 | INFO | billmv2.quantization.v2_quantizer | alternating block 768:896 round 1 reconstruction loss 0.000715948001
2026-08-06 13:03:22,245 | INFO | billmv2.quantization.v2_quantizer | alternating block 896:1024 round 1 reconstruction loss 0.000789663929
2026-08-06 13:03:22,263 | INFO | billmv2.quantization.v2_quantizer | alternating block 1024:1152 round 1 reconstruction loss 0.000744949153
2026-08-06 13:03:22,284 | INFO | billmv2.quantization.v2_quantizer | alternating block 1152:1280 round 1 reconstruction loss 0.000787915546
2026-08-06 13:03:22,303 | INFO | billmv2.quantization.v2_quantizer | alternating block 1280:1408 round 1 reconstruction loss 0.000747758546
2026-08-06 13:03:22,324 | INFO | billmv2.quantization.v2_quantizer | alternating block 1408:1536 round 1 reconstruction loss 0.000735746638
2026-08-06 13:03:22,342 | INFO | billmv2.quantization.v2_quantizer | alternating block 1536:1664 round 1 reconstruction loss 0.000732284621
2026-08-06 13:03:22,360 | INFO | billmv2.quantization.v2_quantizer | alternating block 1664:1792 round 1 reconstruction loss 0.000822778442
2026-08-06 13:03:22,378 | INFO | billmv2.quantization.v2_quantizer | alternating block 1792:1920 round 1 reconstruction loss 0.000904557004
2026-08-06 13:03:22,400 | INFO | billmv2.quantization.v2_quantizer | alternating block 1920:2048 round 1 reconstruction loss 0.000746212667
2026-08-06 13:03:22,418 | INFO | billmv2.quantization.v2_quantizer | alternating block 2048:2176 round 1 reconstruction loss 0.000755710003
2026-08-06 13:03:22,436 | INFO | billmv2.quantization.v2_quantizer | alternating block 2176:2304 round 1 reconstruction loss 0.00090564217
2026-08-06 13:03:22,454 | INFO | billmv2.quantization.v2_quantizer | alternating block 2304:2432 round 1 reconstruction loss 0.000778005051
2026-08-06 13:03:22,472 | INFO | billmv2.quantization.v2_quantizer | alternating block 2432:2560 round 1 reconstruction loss 0.000760739844
2026-08-06 13:03:22,491 | INFO | billmv2.quantization.v2_quantizer | alternating block 2560:2688 round 1 reconstruction loss 0.000938932179
2026-08-06 13:03:22,514 | INFO | billmv2.quantization.v2_quantizer | alternating block 2688:2816 round 1 reconstruction loss 0.000812722661
2026-08-06 13:03:22,532 | INFO | billmv2.quantization.v2_quantizer | alternating block 2816:2944 round 1 reconstruction loss 0.000894729223
2026-08-06 13:03:22,551 | INFO | billmv2.quantization.v2_quantizer | alternating block 2944:3072 round 1 reconstruction loss 0.000802028691
2026-08-06 13:03:22,569 | INFO | billmv2.quantization.v2_quantizer | alternating block 3072:3200 round 1 reconstruction loss 0.000868537347
2026-08-06 13:03:22,587 | INFO | billmv2.quantization.v2_quantizer | alternating block 3200:3328 round 1 reconstruction loss 0.000820933667
2026-08-06 13:03:22,608 | INFO | billmv2.quantization.v2_quantizer | alternating block 3328:3456 round 1 reconstruction loss 0.000798762077
2026-08-06 13:03:22,626 | INFO | billmv2.quantization.v2_quantizer | alternating block 3456:3584 round 1 reconstruction loss 0.000999820186
2026-08-06 13:03:22,644 | INFO | billmv2.quantization.v2_quantizer | alternating block 3584:3712 round 1 reconstruction loss 0.0009194226
2026-08-06 13:03:22,663 | INFO | billmv2.quantization.v2_quantizer | alternating block 3712:3840 round 1 reconstruction loss 0.000844238559
2026-08-06 13:03:22,681 | INFO | billmv2.quantization.v2_quantizer | alternating block 3840:3968 round 1 reconstruction loss 0.000938005454
2026-08-06 13:03:22,699 | INFO | billmv2.quantization.v2_quantizer | alternating block 3968:4096 round 1 reconstruction loss 0.000903696986
2026-08-06 13:03:22,700 | INFO | billmv2.pipeline.sequential | quantized fixed model.layers.0.mlp.gate_proj, OBC error 12300.1
2026-08-06 13:03:22,772 | INFO | billmv2.quantization.v2_quantizer | alternating block 0:128 round 1 reconstruction loss 0.00062118913
2026-08-06 13:03:22,791 | INFO | billmv2.quantization.v2_quantizer | alternating block 128:256 round 1 reconstruction loss 0.000579451211
2026-08-06 13:03:22,810 | INFO | billmv2.quantization.v2_quantizer | alternating block 256:384 round 1 reconstruction loss 0.000549871183
2026-08-06 13:03:22,832 | INFO | billmv2.quantization.v2_quantizer | alternating block 384:512 round 1 reconstruction loss 0.00058784883
2026-08-06 13:03:22,850 | INFO | billmv2.quantization.v2_quantizer | alternating block 512:640 round 1 reconstruction loss 0.000666440348
2026-08-06 13:03:22,869 | INFO | billmv2.quantization.v2_quantizer | alternating block 640:768 round 1 reconstruction loss 0.000602085725
2026-08-06 13:03:22,887 | INFO | billmv2.quantization.v2_quantizer | alternating block 768:896 round 1 reconstruction loss 0.000573313795
2026-08-06 13:03:22,906 | INFO | billmv2.quantization.v2_quantizer | alternating block 896:1024 round 1 reconstruction loss 0.000622511026
2026-08-06 13:03:22,925 | INFO | billmv2.quantization.v2_quantizer | alternating block 1024:1152 round 1 reconstruction loss 0.000587528339
2026-08-06 13:03:22,946 | INFO | billmv2.quantization.v2_quantizer | alternating block 1152:1280 round 1 reconstruction loss 0.000621740357
2026-08-06 13:03:22,965 | INFO | billmv2.quantization.v2_quantizer | alternating block 1280:1408 round 1 reconstruction loss 0.000588645227
2026-08-06 13:03:22,983 | INFO | billmv2.quantization.v2_quantizer | alternating block 1408:1536 round 1 reconstruction loss 0.000583597866
2026-08-06 13:03:23,001 | INFO | billmv2.quantization.v2_quantizer | alternating block 1536:1664 round 1 reconstruction loss 0.000578972686
2026-08-06 13:03:23,020 | INFO | billmv2.quantization.v2_quantizer | alternating block 1664:1792 round 1 reconstruction loss 0.000645098742
2026-08-06 13:03:23,041 | INFO | billmv2.quantization.v2_quantizer | alternating block 1792:1920 round 1 reconstruction loss 0.000675935007
2026-08-06 13:03:23,059 | INFO | billmv2.quantization.v2_quantizer | alternating block 1920:2048 round 1 reconstruction loss 0.000598638318
2026-08-06 13:03:23,077 | INFO | billmv2.quantization.v2_quantizer | alternating block 2048:2176 round 1 reconstruction loss 0.000588426657
2026-08-06 13:03:23,096 | INFO | billmv2.quantization.v2_quantizer | alternating block 2176:2304 round 1 reconstruction loss 0.000683391991
2026-08-06 13:03:23,114 | INFO | billmv2.quantization.v2_quantizer | alternating block 2304:2432 round 1 reconstruction loss 0.000600517204
2026-08-06 13:03:23,133 | INFO | billmv2.quantization.v2_quantizer | alternating block 2432:2560 round 1 reconstruction loss 0.000600517436
2026-08-06 13:03:23,155 | INFO | billmv2.quantization.v2_quantizer | alternating block 2560:2688 round 1 reconstruction loss 0.000701288402
2026-08-06 13:03:23,172 | INFO | billmv2.quantization.v2_quantizer | alternating block 2688:2816 round 1 reconstruction loss 0.000621548097
2026-08-06 13:03:23,192 | INFO | billmv2.quantization.v2_quantizer | alternating block 2816:2944 round 1 reconstruction loss 0.000676746888
2026-08-06 13:03:23,210 | INFO | billmv2.quantization.v2_quantizer | alternating block 2944:3072 round 1 reconstruction loss 0.000618715305
2026-08-06 13:03:23,228 | INFO | billmv2.quantization.v2_quantizer | alternating block 3072:3200 round 1 reconstruction loss 0.000645159686
2026-08-06 13:03:23,250 | INFO | billmv2.quantization.v2_quantizer | alternating block 3200:3328 round 1 reconstruction loss 0.000630362134
2026-08-06 13:03:23,271 | INFO | billmv2.quantization.v2_quantizer | alternating block 3328:3456 round 1 reconstruction loss 0.000618801336
2026-08-06 13:03:23,289 | INFO | billmv2.quantization.v2_quantizer | alternating block 3456:3584 round 1 reconstruction loss 0.000724822516
2026-08-06 13:03:23,308 | INFO | billmv2.quantization.v2_quantizer | alternating block 3584:3712 round 1 reconstruction loss 0.000675118295
2026-08-06 13:03:23,326 | INFO | billmv2.quantization.v2_quantizer | alternating block 3712:3840 round 1 reconstruction loss 0.000641121529
2026-08-06 13:03:23,344 | INFO | billmv2.quantization.v2_quantizer | alternating block 3840:3968 round 1 reconstruction loss 0.000687990512
2026-08-06 13:03:23,365 | INFO | billmv2.quantization.v2_quantizer | alternating block 3968:4096 round 1 reconstruction loss 0.000661780883
2026-08-06 13:03:23,366 | INFO | billmv2.pipeline.sequential | quantized fixed model.layers.0.mlp.up_proj, OBC error 9639.73
2026-08-06 13:03:23,861 | INFO | billmv2.quantization.v2_quantizer | alternating block 0:128 round 1 reconstruction loss 1.94411405e-06
2026-08-06 13:03:23,874 | INFO | billmv2.quantization.v2_quantizer | alternating block 128:256 round 1 reconstruction loss 1.77328843e-06
2026-08-06 13:03:23,888 | INFO | billmv2.quantization.v2_quantizer | alternating block 256:384 round 1 reconstruction loss 2.7420499e-06
2026-08-06 13:03:23,901 | INFO | billmv2.quantization.v2_quantizer | alternating block 384:512 round 1 reconstruction loss 2.51017718e-06
2026-08-06 13:03:23,915 | INFO | billmv2.quantization.v2_quantizer | alternating block 512:640 round 1 reconstruction loss 1.78447453e-06
2026-08-06 13:03:23,928 | INFO | billmv2.quantization.v2_quantizer | alternating block 640:768 round 1 reconstruction loss 1.93218921e-06
2026-08-06 13:03:23,944 | INFO | billmv2.quantization.v2_quantizer | alternating block 768:896 round 1 reconstruction loss 1.81352505e-06
